LP2_market,LP2_Colgate_Dental_Cream,DENTI_PATANJALI_TPASTE,DENTI_COLGATE_VEDSHAKTI,DENTI_COLGATE_SWARNA_VEDSHAKTI,DENTI_CLOSE_UP_EVER_FRESH,DENTI_AYUSH,DENTI_CLOSE_UP_FRESH_ACTION,DENTI_CLOSE_UP_DEEP_ACTION,DENTI_PEPSODENT_GCPlus_HEALTHY_FRESH,DENTI_PEPSODENT_EXPERT_PROTECTION,DENTI_PEPSODENT_GERMICHECKPlus_MAGNETS,DENTI_SENSODYNE_TOOTHPASTE,DENTI_PEPSODENT_GERMICHECK_PLUS,DENTI_PEPSODENT_COMPLETE,DENTI_COLGATE_MAX_FRESH,DENTI_COLGATE_ACTIVE_SALT,DENTI_DABUR_RED_GEL_TOOTHPASTE,DENTI_ANCHOR,DENTI_BABOOL_PASTE,DENTI_COLGATE_CIBACA_TOP,DENTI_COLGATE_HERBAL,DENTI_CLOSE_UP,DENTI_COLGATE_DENTAL_CREAM,DENTI_COLGATE_TOTAL_TOTAL_3C,DENTI_MESWAK_TOOTH_PASTE,DENTI_NEEM,DENTI_PEPSODENT_G_GUM_CARE,DENTI_PROMISE,DENTI_DABUR_RED_PASTE,DENTI_HIMALAYA
0.34,0.37,0.30,0.00,0.00,0.31,0.39,0.30,0.36,0.30,0.28,0.30,0.00,0.31,0.30,0.31,0.31,0.00,0.00,0.36,0.36,0.30,0.00,0.37,0.31,0.30,0.00,0.35,0.34,0.36,0.28
0.34,0.37,0.31,0.00,0.00,0.30,0.30,0.30,0.30,0.30,0.28,0.00,0.00,0.31,0.30,0.31,0.30,0.00,0.00,0.38,0.36,0.30,0.00,0.37,0.30,0.32,0.00,0.30,0.34,0.36,0.28
0.34,0.37,0.31,0.00,0.00,0.31,0.33,0.30,0.32,0.30,0.28,0.00,0.00,0.31,0.30,0.31,0.30,0.00,0.00,0.35,0.35,0.30,0.00,0.37,0.29,0.30,0.00,0.30,0.34,0.33,0.28
0.34,0.36,0.31,0.00,0.00,0.31,0.35,0.00,0.35,0.30,0.28,0.30,0.00,0.30,0.30,0.31,0.32,0.00,0.00,0.37,0.35,0.30,0.00,0.36,0.29,0.30,0.00,0.30,0.34,0.34,0.28
0.34,0.36,0.31,0.00,0.00,0.31,0.30,0.30,0.31,0.32,0.28,0.00,0.00,0.32,0.30,0.31,0.32,0.00,0.00,0.36,0.39,0.30,0.00,0.36,0.29,0.33,0.00,0.00,0.34,0.35,0.29
0.34,0.36,0.31,0.00,0.00,0.31,0.30,0.00,0.31,0.30,0.28,0.00,0.00,0.30,0.30,0.32,0.30,0.00,0.00,0.38,0.35,0.45,0.00,0.36,0.33,0.30,0.00,0.30,0.34,0.36,0.28
0.34,0.37,0.30,0.00,0.00,0.31,0.30,0.30,0.32,0.31,0.28,0.30,0.00,0.30,0.30,0.31,0.32,0.00,0.00,0.36,0.36,0.30,0.00,0.37,0.29,0.30,0.00,0.30,0.34,0.35,0.29
0.35,0.38,0.30,0.00,0.00,0.31,0.30,0.30,0.34,0.30,0.28,0.30,0.30,0.30,0.30,0.31,0.30,0.00,0.00,0.37,0.36,0.31,0.00,0.38,0.29,0.31,0.00,0.30,0.34,0.36,0.29
0.35,0.37,0.35,0.00,0.00,0.30,0.34,0.30,0.33,0.30,0.28,0.30,0.28,0.31,0.30,0.30,0.30,0.00,0.00,0.35,0.35,0.30,0.00,0.37,0.29,0.30,0.00,0.30,0.34,0.35,0.28
0.35,0.37,0.36,0.00,0.30,0.31,0.30,0.00,0.32,0.30,0.28,0.30,0.30,0.31,0.30,0.30,0.32,0.00,0.00,0.37,0.35,0.30,0.00,0.37,0.32,0.30,0.00,0.30,0.34,0.35,0.29
0.35,0.38,0.36,0.00,0.30,0.31,0.36,0.00,0.33,0.32,0.31,0.36,0.32,0.32,0.30,0.31,0.34,0.00,0.00,0.41,0.36,0.30,0.00,0.38,0.28,0.32,0.00,0.30,0.34,0.35,0.28
0.35,0.38,0.36,0.00,0.30,0.31,0.30,0.30,0.30,0.30,0.28,0.30,0.30,0.32,0.30,0.31,0.33,0.00,0.00,0.37,0.35,0.30,0.00,0.38,0.30,0.30,0.00,0.30,0.34,0.33,0.28
0.35,0.37,0.36,0.00,0.30,0.30,0.30,0.30,0.33,0.30,0.28,0.30,0.30,0.31,0.29,0.32,0.32,0.00,0.00,0.36,0.35,0.39,0.00,0.37,0.30,0.31,0.00,0.30,0.34,0.34,0.28
0.35,0.38,0.35,0.00,0.33,0.30,0.30,0.00,0.32,0.30,0.28,0.30,0.29,0.31,0.30,0.32,0.35,0.00,0.00,0.37,0.36,0.30,0.00,0.38,0.30,0.30,0.00,0.30,0.34,0.36,0.28
